model,benchmarks_used,observed_mean_score,bootstrap_mean_score,bootstrap_std,ci05,ci25,ci50,ci75,ci95
gemini-3.5-flash,44,0.5853686642446204,0.5839111608204941,0.05277374050743671,0.4957577409594672,0.5490561447099824,0.5841000427582506,0.6193357372535018,0.6697591617154952
gpt-4.1,44,0.5591023685644382,0.5599349327562023,0.05265889820160797,0.4737486287820073,0.5247749441962859,0.5602680320851561,0.5963980196017735,0.645186058436997
gpt-5,44,0.518898753847816,0.5177991623469335,0.05419991999265661,0.426726545162085,0.48253088472712913,0.518254946491175,0.5541891471816773,0.6057109175590142
gpt-4o,44,0.5088531719449501,0.509269015076091,0.0509918363772224,0.42376330214454283,0.4747819399177885,0.509416278665762,0.5437463800487672,0.5929946554588092
claude-sonnet-4-5,44,0.41947840276743426,0.41884280838530724,0.049062442859374895,0.3400969248671091,0.38512587653116653,0.41806397492035474,0.4520780042753392,0.5005715480378976
