model,family,num_benchmarks,mean_score,median_score,mean_rank,mean_normalized_score
gpt-4o,captioning,10,0.17049716643432333,0.16171408865022813,2.0,0.7919443241818356
gemini-3.5-flash,captioning,10,0.17220798126218853,0.14614226437060443,2.3,0.7736401443187861
gpt-5,captioning,10,0.15482118359705682,0.1545062244797971,2.7,0.646963568852317
gpt-4.1,captioning,10,0.1536615327946389,0.14124379024647987,2.8,0.5815960952715421
claude-sonnet-4-5,captioning,10,0.11557365904539778,0.11345263258564214,4.2,0.2
gemini-3.5-flash,qa,6,0.9333333333333332,0.975,1.0,1.0
gpt-4.1,qa,6,0.8666666666666667,0.8999999999999999,1.8333333333333333,0.8369047619047619
gpt-5,qa,6,0.85,0.8999999999999999,2.0,0.8146825396825396
gpt-4o,qa,6,0.7999999999999999,0.8500000000000001,3.1666666666666665,0.7054112554112555
claude-sonnet-4-5,qa,6,0.5083333333333333,0.575,5.0,0.0
gemini-3.5-flash,labeling,13,0.7384615384615384,0.8,1.7692307692307692,0.8093406593406594
gpt-4.1,labeling,13,0.7384615384615384,0.7,1.7692307692307692,0.7939560439560439
gpt-5,labeling,13,0.6846153846153846,0.65,2.230769230769231,0.7278388278388278
gpt-4o,labeling,13,0.6461538461538462,0.6,2.3846153846153846,0.6131868131868132
claude-sonnet-4-5,labeling,13,0.5068376068376068,0.45,4.384615384615385,0.16117216117216118
gemini-3.5-flash,detection,6,0.18624579124579124,0.17428571428571427,1.8333333333333333,0.705640589569161
gpt-4.1,detection,6,0.1125,0.12083333333333332,2.1666666666666665,0.558305397971463
claude-sonnet-4-5,detection,6,0.13540404040404042,0.11287878787878788,2.5,0.38304792379702124
gpt-4o,detection,6,0.10000000000000002,0.025,2.6666666666666665,0.3541666666666667
gpt-5,detection,6,0.0,0.0,3.8333333333333335,0.0
gemini-3.5-flash,image_modification_vqa,4,0.925,0.925,1.25,0.96875
gpt-4.1,image_modification_vqa,4,0.9125000000000001,0.9,1.75,0.75
gpt-4o,image_modification_vqa,4,0.775,0.825,3.5,0.40625
gpt-5,image_modification_vqa,4,0.8125,0.85,3.25,0.4062499999999999
claude-sonnet-4-5,image_modification_vqa,4,0.7125,0.725,3.5,0.25
gpt-5,image_preference,1,0.75,0.75,1.0,1.0
gemini-3.5-flash,image_preference,1,0.7,0.7,2.0,0.8888888888888888
gpt-4.1,image_preference,1,0.6,0.6,3.0,0.6666666666666666
gpt-4o,image_preference,1,0.55,0.55,4.0,0.5555555555555557
claude-sonnet-4-5,image_preference,1,0.3,0.3,5.0,0.0
gemini-3.5-flash,aesthetic_rating,1,0.8166666666666667,0.8166666666666667,1.0,1.0
claude-sonnet-4-5,aesthetic_rating,1,0.8,0.8,2.0,0.8000000000000005
gpt-4.1,aesthetic_rating,1,0.7388888888888889,0.7388888888888889,3.0,0.06666666666666649
gpt-4o,aesthetic_rating,1,0.7345679012345678,0.7345679012345678,4.0,0.014814814814813296
gpt-5,aesthetic_rating,1,0.7333333333333334,0.7333333333333334,5.0,0.0
claude-sonnet-4-5,prompt_reconstruction,3,0.9666666666666667,1.0,1.0,1.0
gpt-5,prompt_reconstruction,3,0.85,0.85,2.3333333333333335,0.5
gpt-4.1,prompt_reconstruction,3,0.8666666666666667,0.85,2.6666666666666665,0.3888888888888889
gpt-4o,prompt_reconstruction,3,0.8333333333333334,0.85,3.6666666666666665,0.2499999999999999
gemini-3.5-flash,prompt_reconstruction,3,0.8333333333333334,0.85,3.0,0.16666666666666666
