model,num_benchmarks,mean_score,median_score,std_score,mean_normalized_score,mean_z_score,mean_rank,estimated_stats_benchmarks,first_place_finishes
gpt-5.5,21,0.5549916255624765,0.5,0.32412457756887214,0.8253460697517502,0.5257475393831305,2.761904761904762,0,8
gpt-4.1,21,0.5180322935461433,0.5,0.33897870536681174,0.7565175080407658,0.3426494022006414,3.4761904761904763,0,9
gpt-5.1,21,0.5079051965293195,0.5,0.3409151051791759,0.7421070242178522,0.2941540916352875,3.761904761904762,0,9
gpt-5.4-mini,21,0.49564817659153054,0.5,0.33027924364837996,0.7268001330016283,0.25016044936198983,4.476190476190476,0,7
gpt-5.4,21,0.5049465864046229,0.40540540540540543,0.32041139907786004,0.7240140381164466,0.20692923353629497,4.809523809523809,0,6
qwen2.5-vl-3b-instruct,21,0.4778598441720081,0.39061034083481644,0.33034857894203956,0.7140477798385818,0.2515776649401748,4.809523809523809,0,10
gpt-4o,21,0.4949006393443476,0.37636307652003254,0.3345170228036979,0.7078354193549913,0.20328133986491126,4.619047619047619,0,6
gpt-5,21,0.49885882007000515,0.5,0.35325942086548673,0.6880014862776569,0.13244072093008732,4.809523809523809,0,8
gpt-5.2,21,0.47974890346398974,0.3054054054054054,0.3367142372995068,0.6784473620647049,0.08253955028582852,5.190476190476191,0,6
llava-1.5-7b-hf,21,0.4666313953968898,0.4287379886986753,0.3682785544432203,0.6656480770902983,0.138629178136117,4.571428571428571,0,7
gpt-5.3-chat-latest,21,0.4485209974300834,0.4,0.3354724064794476,0.632268569213475,-0.06338222170834082,6.476190476190476,0,6
gpt-5.4-nano,21,0.37064772632592835,0.2,0.3221197688768678,0.4791298214644627,-0.5406424820636097,9.142857142857142,0,4
llava-gemma-2b,21,0.27899421941365965,0.27445346825087713,0.2832339043932513,0.41409502833888334,-0.6645639642138622,8.19047619047619,0,4
paligemma-3b-mix-224,21,0.2859624015303635,0.3,0.2895698053352658,0.3183673469387755,-1.159520502288652,10.714285714285714,0,3
