model,num_benchmarks,mean_wall_clock_seconds,mean_generation_seconds,mean_model_load_seconds,mean_tokens_per_second,mean_output_tokens,mean_samples_per_second,peak_cpu_ram_bytes,peak_gpu_memory_bytes,mean_cpu_utilization_percent,measured_benchmarks,estimated_benchmarks
gpt-5.4-nano,21,1.1761813928611533,1.0476628553589329,,,,0.9264354586873791,2551250944.0,,4.2922104791545665,21,0
llava-1.5-7b-hf,21,1.1891999077317443,1.1057918998370408,305.72426892400017,5.855918874896059,8.066666666666666,1.0747925792979363,4658176000.0,14587761152.0,101.45010693520238,21,0
gpt-5.4-mini,21,1.208459900113632,1.0674123611947013,,,,0.8965482803800758,2352459776.0,,2.7804990743755367,21,0
gpt-5.4,21,1.3383215872565328,1.2083055080948508,,,,0.7986936256183113,5415342080.0,,3.5465313058289523,21,0
gpt-5.2,21,1.4099493564304706,1.2777875677363704,,,,0.7814348206408064,2719928320.0,,5.9770594616105255,21,0
gpt-4.1,21,1.4220362418063364,1.348112391266682,0.04386110899986306,,,0.7762200363363392,4875984896.0,614187008.0,15.745381545360344,21,0
gpt-5.5,21,1.6284283303596092,1.499385972498844,,,,0.657923816049516,3811602432.0,,3.3257620488895623,21,0
gpt-5.3-chat-latest,21,1.8650482408353128,1.721738971662264,,,,0.5762212533796088,3616292864.0,,3.474046899245593,21,0
gpt-4o,21,1.9126856302390696,1.7693076520222737,,,,0.5691690707647816,2751377408.0,,3.9858910927237865,21,0
gpt-5.1,21,1.939423554647337,1.800502889521054,,,,0.6138723764053341,3217547264.0,,5.412584534849301,21,0
gpt-5,21,1.968952061186844,1.8298181417840258,,,,0.550865562754535,4844838912.0,,3.7918046015820748,21,0
qwen2.5-vl-3b-instruct,21,2.699036366141798,2.5822721381873053,186.35278578199996,2.946322670919874,7.704761904761905,0.6544359812530224,4329340928.0,14973662208.0,99.747799360772,21,0
paligemma-3b-mix-224,21,12.806901070003263,12.64219278762106,10.956879276191883,0.45219601133196413,6.347619047619048,0.08431467155354962,12454150144.0,,708.273484471459,21,0
llava-gemma-2b,21,99.07028605857097,98.97260624428613,9.41927531904678,0.22962820103065762,9.00952380952381,0.02786038824634503,11364409344.0,,639.7258823317007,21,0
